group,variable,value
w1,Sun,10776
w1,Sat,11218
w1,Fri,11777
w1,Thu,11317
w1,Wed,10836
w1,Tue,10532
w1,Mon,10603
w2,Sun,10662
w2,Sat,10197
w2,Fri,9543
w2,Thu,10245
w2,Wed,11334
w2,Tue,10778
w2,Mon,11020
w3,Sun,11773
w3,Sat,13422
w3,Fri,14800
w3,Thu,15030
w3,Wed,15004
w3,Tue,13968
w3,Mon,12328
w4,Sun,14335
w4,Sat,14585
w4,Fri,13284
w4,Thu,12292
w4,Wed,19236
w4,Tue,20553
w4,Mon,12641
w5,Sun,11074
w5,Sat,11528
w5,Fri,12975
w5,Thu,18142
w5,Wed,22513
w5,Tue,21556
w5,Mon,14183
w6,Sun,20100
w6,Sat,19550
w6,Fri,21382
w6,Thu,22398
w6,Wed,13936
w6,Tue,16609
w6,Mon,13345
w7,Sun,39450
w7,Sat,20623
w7,Fri,18231
w7,Thu,31539
w7,Wed,29884
w7,Tue,17146
w7,Mon,18972
w8,Sun,24527
w8,Sat,25352
w8,Fri,16982
w8,Thu,23204
w8,Wed,32556
w8,Tue,28102
w8,Mon,49206
w9,Sun,28325
w9,Sat,19103
w9,Fri,20085
w9,Thu,22118
w9,Wed,21378
w9,Tue,19355
w9,Mon,18564
w10,Sun,31018
w10,Sat,21390
w10,Fri,20828
w10,Thu,20160
w10,Wed,20656
w10,Tue,23529
w10,Mon,27333
w11,Sun,26656
w11,Sat,23859
w11,Fri,22161
w11,Thu,15662
w11,Wed,16819
w11,Tue,18735
w11,Mon,32004
w12,Sun,18721
w12,Sat,26219
w12,Fri,20837
w12,Thu,17365
w12,Wed,13791
w12,Tue,15518
w12,Mon,22438
