group,variable,value
Mon,w1,30
Mon,w2,95
Mon,w3,22
Mon,w4,14
Mon,w5,59
Mon,w6,52
Mon,w7,88
Mon,w8,20
Mon,w9,99
Mon,w10,66
Tue,w1,37
Tue,w2,50
Tue,w3,81
Tue,w4,79
Tue,w5,84
Tue,w6,91
Tue,w7,82
Tue,w8,89
Tue,w9,6
Tue,w10,67
Wed,w1,96
Wed,w2,13
Wed,w3,98
Wed,w4,10
Wed,w5,86
Wed,w6,23
Wed,w7,74
Wed,w8,47
Wed,w9,73
Wed,w10,40
Thu,w1,75
Thu,w2,18
Thu,w3,92
Thu,w4,43
Thu,w5,16
Thu,w6,27
Thu,w7,76
Thu,w8,24
Thu,w9,1
Thu,w10,87
Fri,w1,44
Fri,w2,29
Fri,w3,58
Fri,w4,55
Fri,w5,65
Fri,w6,56
Fri,w7,9
Fri,w8,78
Fri,w9,49
Fri,w10,36
Sat,w1,35
Sat,w2,80
Sat,w3,8
Sat,w4,46
Sat,w5,48
Sat,w6,100
Sat,w7,17
Sat,w8,41
Sat,w9,33
Sat,w10,11
