group,variable,value
w1,Sun,30
w1,Sat,95
w1,Fri,22
w1,Thu,14
w1,Wed,59
w1,Tue,52
w1,Mon,88
w2,Sun,37
w2,Sat,50
w2,Fri,81
w2,Thu,79
w2,Wed,84
w2,Tue,91
w2,Mon,82
w3,Sun,96
w3,Sat,13
w3,Fri,98
w3,Thu,10
w3,Wed,86
w3,Tue,23
w3,Mon,74
w4,Sun,75
w4,Sat,18
w4,Fri,92
w4,Thu,43
w4,Wed,16
w4,Tue,27
w4,Mon,76
w5,Sun,44
w5,Sat,29
w5,Fri,58
w5,Thu,55
w5,Wed,65
w5,Tue,56
w5,Mon,9
w6,Sun,35
w6,Sat,80
w6,Fri,8
w6,Thu,46
w6,Wed,48
w6,Tue,100
w6,Mon,17
w7,Sun,42
w7,Sat,52
w7,Fri,64
w7,Thu,32
w7,Wed,24
w7,Tue,45
w7,Mon,31
